title,price,rating,reviews
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹18,000",4.1,"3,481 Ratings & 269 Reviews"
"SAMSUNG Galaxy A34 5G (Awesome Lime, 256 GB)","₹29,499",4.3,"6,626 Ratings & 545 Reviews"
"SAMSUNG Galaxy F55 5G (Raisin Black, 256 GB)","₹34,900",3.9,169 Ratings & 14 Reviews
"SAMSUNG M15 5G (Celestrial Blue, 128 GB)","₹12,990",4.5,28 Ratings & 1 Reviews
"SAMSUNG Galaxy M15 5G (Blue Topaz, 128 GB)","₹14,540",4.1,160 Ratings & 5 Reviews
"SAMSUNG Galaxy M15 5G (Stone Grey, 128 GB)","₹16,210",4.1,617 Ratings & 29 Reviews
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 128 GB)","₹42,999",4.5,139 Ratings & 12 Reviews
"SAMSUNG Galaxy F55 5G (Apricot Crush, 256 GB)","₹33,249",3.9,169 Ratings & 14 Reviews
"SAMSUNG Galaxy M35 5G (DayBreak Blue, 128 GB)","₹24,890",4.6,7 Ratings & 0 Reviews
"SAMSUNG Galaxy M35 5G (Moonlight Blue, 128 GB)","₹24,890",4.6,7 Ratings & 0 Reviews
